0.7912080,0.1407170,2.1336950,0.2113060,-0.4098570,-0.0075170,-0.8372220,-0.4151870,-1.0195970,0.3365930,0.1614790,-1.3332980,-0.8989770,-1.0634690,-1.1586210,-3.2743390,-0.8896040,0.5846630,0.2002400,-0.9647080,-0.8187660,1.3438040,1.8435530,1.8343340,2.9182280,0.9543000,0.2760950,0.1019260,0.4001290,0.1891820
0.8008170,0.0812580,0.0603690,0.8677560,-0.8389400,-0.5353350,0.2725530,-1.4059440,-1.5685160,-1.8078780,2.1496360,1.5061600,0.7140760,-0.4289600,0.7296620,1.2906830,0.8685430,-0.1127800,1.3534570,2.3713120,1.6795160,-0.3812650,-0.7527010,-0.7182610,0.1905750,0.0454110,-0.9473360,-0.9925710,-0.3095420,-0.1295490
-2.5708640,1.4620440,1.3001140,2.5763490,1.9744620,2.7308580,-0.2797000,1.4095960,1.2655060,1.4559720,0.6735930,1.9429670,-0.6813600,-1.6412810,-0.8459100,2.3129200,1.9319540,2.5813080,3.9454250,1.9385630,2.8506930,-0.7963520,-2.6888880,-2.7830290,-3.1007890,-1.7074710,1.3473410,0.1748500,0.4113800,0.2904810
2.0526940,0.7236560,-1.1350720,-0.2949820,1.9271040,2.0672950,1.5816980,0.7701980,0.7464840,0.7705280,0.6856200,1.7644450,2.3751650,1.4867390,1.5789150,1.8349430,1.5904140,-2.0275650,-2.1836960,-1.9115540,-1.1074370,-0.9259250,-0.5695470,0.2369020,0.9873370,0.8582310,0.2534060,0.1758850,-0.3339310,-0.2347120
-4.4033820,-0.3804500,-0.3784590,-0.9181120,1.6039140,1.7146470,0.9619190,0.3502940,-1.9201800,-2.3465520,-0.8829770,-1.4715770,-1.5355610,0.6074770,1.4693670,0.1921010,-1.7700440,-1.8523080,-2.1650830,-1.6890210,0.6548020,1.2580950,0.6298560,-0.1798910,-0.3067000,-0.6055630,-0.7911840,-0.7299840,-0.5291350,-0.2046680
4.9607510,-0.2904650,-1.3949320,0.2340320,3.2082650,2.6443670,1.6929230,-0.0056680,-0.8589550,-0.5476570,-1.0988450,1.9327770,1.1796420,2.3840680,-0.7003930,-1.6051450,-1.9776700,-1.4118890,-2.6389930,-0.8536530,-0.3802600,-0.5954770,0.0333760,2.3386400,3.0596170,1.9942860,2.1118260,0.6358180,-0.1653940,-0.2967020
3.7937410,-0.1626320,-3.8240380,-0.6563000,2.8349810,3.1552330,0.6040350,0.3952710,0.5910240,0.1117340,-0.4528060,0.0739900,0.2524960,0.3569710,-0.2651400,-0.9267010,-1.9048840,-1.5535120,-1.7726530,-1.1989320,-1.0092070,0.5744560,1.7332440,2.1696210,1.7011780,1.0125910,0.4672730,-0.7627270,-1.0951390,-1.1303160
0.8568320,1.3295640,-0.6298740,-1.2411210,2.7722400,2.4557330,0.2687970,-5.3304490,-5.6814770,-4.8976140,-2.3719020,-0.6237270,0.3812100,0.3952200,-0.5974280,-1.1128210,0.5568670,1.0804200,0.7763530,-0.1051590,-0.7836340,-1.1684950,-1.9635460,-1.8575250,0.9903450,1.5984780,1.7890270,1.0931520,0.9948460,1.2292520
-0.5993520,1.9130450,-1.2577050,-0.1411780,2.0004220,1.7337670,1.3133850,0.6577310,0.9797320,0.5566590,0.7005340,0.6573920,0.5307040,1.1527180,2.4005490,3.4854220,4.8190620,-1.5040470,-1.5493590,-1.3460560,-0.7378630,-0.6360990,-1.4800650,-2.1193870,-1.1823300,-0.4491480,0.3071590,-0.0204990,0.0798560,0.0373520
0.0075920,-2.1112180,2.2676190,3.0265900,0.4186030,0.1274160,0.4401510,3.8842510,-1.1077000,-0.3893780,-0.7313370,-0.7063740,3.8792570,1.9834330,4.8708200,-0.8446160,-0.1368620,-0.5743880,-1.3826030,-0.8023630,-1.1586110,-2.3030130,-0.8548310,-0.0565560,0.3272240,-1.3224340,-0.8801290,0.3294590,1.3203390,3.8061860
-1.3806460,-4.6053150,1.0931230,-5.9751150,1.0300730,-1.2602630,1.8618400,1.3377290,-1.7037660,1.6389710,-0.1607750,0.0020670,-2.2338190,-1.5989170,0.2192440,-2.0839370,1.8204820,-3.1954550,1.5106440,-0.0028600,-0.6508920,2.1815500,-2.6138560,-2.3128960,-1.0665080,-2.4483440,-2.6225370,-0.5430480,-0.2952230,-0.9713470
-1.4144500,0.9189750,3.7736000,1.6081670,1.3126140,0.4588100,-2.6601660,-2.4055620,-2.2842720,-1.4363230,0.0098140,0.6646260,0.7434570,1.4187850,0.5942340,-0.2225630,-0.7633650,-0.7858230,-1.0407900,-1.1008370,0.3688130,0.3157840,0.5553430,0.2371170,-0.3017260,-0.3159250,-0.2274680,0.0934720,3.8234290,3.0396250
-1.9207160,-2.2711720,0.3988400,3.2770800,-0.2098540,-0.0116680,0.3411270,0.9154510,1.0501260,1.2065290,0.5671300,-0.6030810,0.9357890,0.1220740,-0.2903570,-0.9902460,0.5151750,1.7359070,0.8501830,-1.5412740,0.3690140,0.0223480,-1.0540000,-2.1881500,-2.4814850,-0.3038050,0.9497900,0.8188310,0.7038870,0.7053090
0.9202180,1.8715560,-1.2810810,-1.1965400,-0.0363340,1.0523680,0.5589950,0.4821290,-0.5692370,-1.9833820,-4.6416350,-4.2852540,-4.4954620,-2.7955390,-0.4195030,-0.4949720,-0.0032960,-0.0376860,1.1969060,1.5900360,1.2489130,0.9744390,0.8151230,1.0184920,0.9297060,1.2588090,-0.2474860,-0.3960440,-0.3007260,-0.0919820
2.1385320,-3.1398830,1.4311390,1.8341670,0.3426640,0.8757620,0.4018980,-0.7163960,-0.7913240,-0.6019340,-1.1646130,-1.7081700,-1.7745780,-1.0971570,2.2661010,0.8322940,-0.3882200,-0.5129890,0.5395970,1.7594060,1.6315510,1.1525520,3.9257440,3.0104070,1.7515160,-1.2829720,-1.3258080,-2.1615940,-1.0733070,-1.1586490
-1.8020400,-1.1387580,-0.3596380,0.5574070,-1.6582920,-1.6174740,-1.1534970,-1.8008690,0.6779160,-4.8998620,2.6955930,1.1797060,-0.0984660,-0.6746640,0.0561250,-0.8932910,1.6729900,-1.7998980,3.2416110,-2.4422300,0.0497760,1.7421710,0.4542960,-2.5722780,-0.9792320,-0.1259330,0.6587700,-0.7110090,-1.2455860,0.8045660
3.9260880,0.7075060,0.0926770,2.5496690,-0.8224690,0.9004010,3.1367430,2.7004140,-0.2798950,0.7486470,-0.0257270,-0.2545490,-1.1672430,2.9835400,2.3635910,0.9169230,-0.4075240,-0.0089680,-0.4206010,2.3828090,1.8132580,2.1530000,-1.6546490,-1.3497670,-0.7006480,-2.8727810,0.8657070,2.2898060,2.3940790,1.4746480
1.2292820,1.0676590,4.2532390,0.4077200,-0.9113190,-1.4445850,-0.4867950,-0.0849050,-1.3648980,-1.0455790,1.1268940,3.6216420,3.8885780,1.0290980,-0.1561940,0.0695550,-0.4569540,-1.1940730,-0.7108940,-0.2860630,-1.4158450,-1.0986300,-0.1158910,1.3332440,1.1470470,2.0931510,0.9151410,0.2039740,1.2063220,1.3558240
-2.5738980,0.0807280,-0.8335040,-2.1774790,-1.2063960,-0.8416510,-0.3071590,0.7013140,1.2108890,0.7940330,1.4518730,2.1206880,1.3120700,0.5149360,2.5143460,1.3945890,0.7756650,-1.4009260,-0.3857150,0.6213380,-2.1686620,-0.6787140,-1.2279770,-0.4670640,-0.9866780,-0.0134410,-0.3491370,-0.8126340,-2.9895880,-1.4357250
