0.0182550,3.3925930,3.2239380,1.7072910,2.2880970,1.5494650,2.1418350,-5.3753390,2.2554580,-3.2462800,4.4970290,4.2329880,2.1600860,0.5044760,3.7791620,-2.0090880,0.0200690,-4.5672720,-3.9530640,-4.1485700,8.5458160,-3.6121500,-0.5488130,5.3329400,1.7550200,-6.7462690,0.3914140,-3.8932030,-1.9886570,2.5797300,-0.4649370,5.0894740,0.0651900,-2.0684050,-0.2558720,-0.7209110,-4.8152060,-0.0134740,8.6879480,-4.6930460,-3.8849250,-2.9177210,-5.5630850,7.7526660,-0.2517750,-5.7322260,1.9542720,5.7968900,-4.5351680,2.6865870
3.8539470,-0.9948710,6.9379730,-4.0975670,-8.2686260,-3.4523800,-0.1534420,-1.4648730,4.2692400,-1.9330890,0.2856660,-0.2909720,-1.4389560,-4.1360770,-0.9136830,-0.8423200,4.7531470,2.6081970,1.6942480,-3.8547790,6.5944870,-3.4854930,1.7409610,-0.9910820,-3.9969530,4.8020050,2.6819880,2.3776380,0.3364940,4.5448980,0.9891120,-3.4142570,6.0236250,2.9207430,-1.8778740,-1.6044850,-0.6148950,-1.9002020,-3.8023030,-4.8786980,-2.9052950,2.5322970,4.0850470,-6.6605100,-3.4095030,-1.5081790,2.7243060,2.7195520,-3.0315200,1.7686120
0.3257910,1.6713520,-3.5322950,-4.1088920,-5.1261420,3.5729840,-3.1484900,-2.5579570,0.9103300,3.2732640,-1.3358820,-0.8997840,1.7978170,-0.1003540,-1.7805420,0.7369250,3.2117960,1.2178820,3.3830740,1.9873640,-3.0727050,3.0091480,-7.6350270,2.6777030,1.0622380,-2.5600520,1.5987830,2.3208680,-1.2092930,-0.6574850,-6.9228930,9.8114600,2.1787270,2.1261600,-0.9627080,2.6301340,0.2139400,-2.3012640,-3.1511240,-2.2720390,-2.3488980,2.7959790,-6.1302780,5.7312370,-9.1187980,3.7380470,3.5815630,-3.2461650,1.4471800,-4.6143190
-0.1090120,-3.3625180,3.9451050,-1.4670630,-5.2275740,-1.3288100,1.3062040,-3.9479340,-0.4531740,2.4612050,-4.6423690,3.3733850,-1.7125430,3.3404720,2.9157140,1.4753560,-0.8052280,2.4277360,0.5613150,3.0955440,6.0966750,3.6052590,0.8730790,0.8523100,-0.5491820,-7.0815210,-1.8664280,0.4718230,2.6204590,2.0025120,-4.0372230,-0.4714620,0.6301270,0.6633430,-1.5020960,1.3780070,4.5146940,-0.4989400,4.2229270,2.9207610,-0.6430170,-1.5362220,-2.6014550,-6.9200740,1.6645180,1.4658560,-3.0520440,-4.0990960,2.5972880,1.6590480
2.6182840,3.2682640,3.7053290,4.8634490,-2.2915330,3.9130280,-3.7142940,5.4570360,-0.5306740,-2.3158460,-3.8673190,-2.2219900,2.3553760,0.9357680,-2.4731980,-0.5781980,-2.2678420,5.3932260,-1.4140220,-4.8379030,-4.2111340,-3.5995620,-2.2581870,-1.5258380,-0.2215020,4.1072600,-0.6853110,-3.1202880,-2.3207410,-3.8079030,5.7633730,5.4441440,-3.9614870,-0.9943460,2.2916280,-2.0176290,-6.5262300,-1.3939400,-4.8455220,-3.8208180,3.9065800,-3.5187260,4.2377410,3.2875390,-3.5283220,-3.9156180,0.8531720,2.8593860,-3.7588180,-2.4233460
-0.3279070,-0.3565640,-0.4344190,-0.3836060,-0.1651630,-0.3004600,-0.3472930,-0.1802900,-0.3565690,-0.4388610,-0.2714490,-0.4697480,-0.1499680,-0.2102010,-0.2404380,-0.2651460,-0.3772760,-0.4338770,-0.1988670,-0.4205080,-0.2518740,-0.1315030,-0.3108860,-0.2809180,-0.3145670,-0.3114070,-0.1042120,-0.3851850,-0.3161360,-0.3464980,-0.3761260,-0.4891110,-0.3558340,-0.1844060,-0.3294580,-0.2260920,-0.3222160,-0.2646820,-0.2870570,-0.2781780,-0.2597660,-0.2719860,-0.1082270,-0.4032530,-0.3933090,-0.3067950,-0.2370530,-0.3387390,-0.2082980,-0.2387860
-0.4130870,-0.1944010,-0.3468950,-0.3031670,-0.2222770,-0.4016770,-0.2634740,-0.2350930,-0.2940500,-0.4866310,-0.2631800,-0.3664350,-0.1495040,-0.3585250,-0.3933170,-0.2210910,-0.3303550,-0.3572150,-0.1873480,-0.4155140,-0.2895720,-0.3141130,-0.3544890,-0.3035370,-0.2816870,-0.4314480,-0.1283830,-0.3051280,-0.3502740,-0.3244300,-0.2893500,-0.4186750,-0.3685970,-0.1879910,-0.2109840,-0.3293050,-0.2706220,-0.2914960,-0.1730130,-0.2122260,-0.2818710,-0.2033280,-0.1918470,-0.3119940,-0.4386270,-0.4465630,-0.2952360,-0.2978190,-0.2653040,-0.2690350
-0.3872930,-0.2155990,-0.4105640,-0.2360130,-0.1533580,-0.3403250,-0.3730140,-0.2710130,-0.2710000,-0.4361070,-0.2832750,-0.4629050,-0.1617180,-0.3742550,-0.2381510,-0.2387230,-0.2758850,-0.2567160,-0.3703870,-0.4359080,-0.1493170,-0.2905940,-0.4388400,-0.3454820,-0.3242060,-0.3456500,-0.3384030,-0.3496700,-0.2328470,-0.2320780,-0.2638380,-0.3464870,-0.3114000,-0.1889200,-0.2982700,-0.3756350,-0.4895270,-0.2113770,-0.1054200,-0.2792830,-0.3879330,-0.2165350,-0.2603090,-0.2743550,-0.4719820,-0.2646950,-0.4197850,-0.2167900,-0.1406950,-0.4284020
-0.4555640,-0.3610570,-0.3622710,-0.3532310,-0.1947570,-0.2885520,-0.2950120,-0.2030550,-0.3684290,-0.2852120,-0.2218460,-0.4261620,-0.1891080,-0.2663940,-0.4696720,-0.1685050,-0.3352610,-0.4744140,-0.1998400,-0.2695380,-0.1496480,-0.2020440,-0.2859980,-0.2735920,-0.4174920,-0.4538850,-0.2218830,-0.2757200,-0.2713870,-0.3327340,-0.3733610,-0.3838970,-0.3168070,-0.2855280,-0.3204740,-0.3111370,-0.4273420,-0.1818370,-0.2842400,-0.1640210,-0.4084740,-0.1969350,-0.2940880,-0.2813670,-0.3954430,-0.3444800,-0.2418060,-0.1967470,-0.1873370,-0.2552290
-0.3146710,-0.2984270,-0.3838120,-0.2602690,-0.1228390,-0.3063560,-0.3270490,-0.3566540,-0.1712930,-0.3324120,-0.1624260,-0.3127160,-0.3219810,-0.2829580,-0.3079240,-0.1695770,-0.4913690,-0.2886690,-0.2209680,-0.4626450,-0.1566330,-0.1937750,-0.3640580,-0.2763360,-0.2783110,-0.3207530,-0.2409210,-0.1788050,-0.2530010,-0.4473950,-0.4081950,-0.4306100,-0.2485220,-0.3036630,-0.3341230,-0.2951590,-0.3327380,-0.3563040,-0.2712150,-0.3447950,-0.2691820,-0.2970060,-0.1338740,-0.3423090,-0.3219510,-0.3364440,-0.4283530,-0.3583590,-0.2214320,-0.4210290
